Chinese,English,Vietnamese,Tactics in Chinese,Tactics in English,Chiến Pháp Kế Thừa,Chiến Pháp Mang Theo,Phe
孙权,Sun Quan,Tôn Quyền,卧薪尝胆,Grudge Bearer,Nằm Gai Nếm Mật,Toạ Đoạn Đông Nam,Ngô
张郃,Zhang He,Trương Cáp,大戟士,Halberdier,Đại Kích Sĩ,Đại Kích Sĩ,Nguỵ
颜良,Yan Liang,Nhan Lương,盛气凌敌,Intimidate,Thịnh Khí Linh Địch,Dũng Quán Tam Quân,Quần
曹丕,Cao Pi,Tào Phi,盛气凌敌,Intimidate,Thịnh Khí Linh Địch,Lục Lực Thượng Quốc,Nguỵ
于禁,Yu Jin,Vu Cấm,克敌制胜,Overcome,Khắc Địch Chế Thắng,Cầm Quân Thận Trọng,Nguỵ
程普,Cheng Pu,Trình Phổ,克敌制胜,Overcome,Khắc Địch Chế Thắng,Thận Trọng Anh Dũng,Ngô
于吉,Yu Ji,Vu Cát,杯蛇鬼车,Paranoia,Sợ Bóng Sợ Gió,Hưng Vân Bố Vũ,Quần
左慈,Zuo Ci,Tả Từ,杯蛇鬼车,Paranoia,Sợ Bóng Sợ Gió,Kim Đơn Mật Thuật,Quần
钟会,Zhong Hui,Chung Hội,文武双全,Pen and Sword,Văn Võ Song Toàn,Tinh Luyện Sách Số,Nguỵ
邓艾,Deng Ai,Đặng Ngải,文武双全,Pen and Sword,Văn Võ Song Toàn,Ám Độ Trần Thương,Nguỵ
黄忠,Huang Zhong,Hoàng Trung,万箭齐发,Rain of Arrows,Vạn Tiễn Tề Phát,Bách Phát Bách Trúng,Thục
夏侯渊,Xiahou Yuan,Hạ Hầu Uyên,万箭齐发,Rain of Arrows,Vạn Tiễn Tề Phát,Tướng Hành Kỳ Tật,Nguỵ
兀突骨,Wu Tugu,Ngột Đột Cốt,藤甲兵,Rattan Infantry,Lính Giáp Mây,Lính Giáp Mây,Quần
典韦,Dian Wei,Điển Vi,折冲御侮,Resist the Foe,Đánh Bại Quân Địch,Cổ Chi Ác Lai,Nguỵ
太史慈,Taishi Ci,Thái Sử Từ,折冲御侮,Resist the Foe,Đánh Bại Quân Địch,Thần Xạ,Ngô
庞德,Pang De,Bàng Đức,暂避其锋,Sidestep,Tạm Lánh Sóng Gió,Đài Quan Quyết Chiến,Nguỵ
徐庶,Xu Shu,Từ Thứ,暂避其锋,Sidestep,Tạm Lánh Sóng Gió,Xử Từ Bất Hoặc,Thục
郭嘉,Guo Jia,Quách Gia,沉沙决水,Sinking Sands,Trầm Sa Quyết Thuỷ,Thập Thắng Thập Bại,Nguỵ
法正,Fa Zheng,Pháp Chính,沉沙决水,Sinking Sands,Trầm Sa Quyết Thuỷ,Dưỡng Sức Chống Địch,Thục
小乔,Xiao Qiao,Tiểu Kiều,夺魂挟魄,Soul Steal,Tranh Hồn Đoạt Mạng,Thiên Hương,Ngô
蔡文姬,Cai Wenji,Thái Văn Cơ,夺魂挟魄,Soul Steal,Tranh Hồn Đoạt Mạng,Tiếng Sáo Dư Âm,Quần
荀彧,Xun Yu,Tuân Úc,四面楚歌,Surrounded on All Sides,Tứ Diện Sở Ca,Vương Tá Chi Tài,Nguỵ
李儒,Li Ru,Lý Nho,四面楚歌,Surrounded on All Sides,Tứ Diện Sở Ca,Rượu Độc,Quần
曹纯,Cao Chun,Tào Thuần,虎豹骑,Tiger Cavalry,Hổ Báo Kỵ,Hổ Báo Kỵ,Nguỵ
关羽,Guan Yu,Quan Vũ,横扫千军,Total Annihilation,Hoành Tảo Thiên Quân,Uy Chấn Hoa Hạ,Thục
赵云,Zhao Yun,Triệu Vân,横扫千军,Total Annihilation,Hoành Tảo Thiên Quân,Gan Góc Phi Thường,Thục
徐晃,Xu Huang,Từ Hoảng,合军聚众,Unit Care,Hợp Tụ Quần Chúng,Tiến Quân Thần Tốc,Nguỵ
袁绍,Yuan Shao,Viên Thiệu,合军聚众,Unit Care,Hợp Tụ Quần Chúng,Công Danh Nhiều Đời,Quần
吕蒙,Lu Meng,Lữ Mông,士别三日,Unrecognizable Change,Sĩ Biệt Tam Nhật,Bạch Y Độ Giang,Ngô
马超,Ma Chao,Mã Siêu,所向披靡,Unstoppable,Đánh Đâu Thắng Đó,Giáo Huyết Tung Hoành,Thục
许褚,Xu Chu,Hứa Chử,所向披靡,Unstoppable,Đánh Đâu Thắng Đó,Hổ Dại,Nguỵ
王平,Wang Ping,Vương Bình,无当飞军,Unstoppable Elites,Vô Đương Phi Quân,Vô Đương Phi Quân,Thục
吕布,Lu Bu,Lữ Bố,一骑当千,Unstoppable Rider,Nhất Kỵ Đương Thiên,Thiên Hạ Vô Song,Quần
陈到,Chen Dao,Trần Đáo,白眊兵,White Guard,Bạch Nhị Binh,Bạch Nhị Binh,Quần
公孙瓒,Gongsun Zan,Công Tôn Toản,白马义从,White Horse Brigade,Bạch Mã Nghĩa Tòng,Bạch Mã Nghĩa Tòng,Quần
马腾,Ma Teng,Mã Đằng,西凉铁骑,Xiliang Cavalry,Tây Lương Thiết Kỵ,Tây Lương Thiết Kỵ,Quần
刘备,Liu Bei,Lưu Bị,义心昭烈,Zhaolie the Benevolent,Nghĩa Tâm Chiêu Liệt,Nhân Đức Tải Thế,Thục
孙尚香,Sun Shang Xiang,Tôn Thượng Hương,结盟,Blind Union,Liên Minh,Cung Yêu Cơ,Ngô
张辽,Zhang Liao,Trương Liêu,勇者得前,Frontline Hero,Dũng Giả Hàng Đầu,Tập Kích Trận Địa,Nguỵ
张继,Zhangji,Trương Cơ,勇者得前,Frontline Hero,Dũng Giả Hàng Đầu,Phấn Mâu Anh Tư,Thục
司马懿,Sima Yi,Tư Mã Ý,用武通神,Transcendence,Dụng Võ Thần Thông,Ưng Thị Lang Cố,Nguỵ
庞统,Pang Tong,Bàng Thống,乘敌不虞,Troop Revive,Thừa Địch Bất Ngu,Liên Hoàn Kế,Thục
马云禄,Ma Yun Lu,Mã Vân Lộc,乘敌不虞,Troop Revive,Thừa Địch Bất Ngu,Si Điều Phượng Tư,Thục
张弘,Zhang Hong,Trương Hoành,智计,Wit,Trí Kế,Kỳ Thi Kinh Lược,Ngô
陈宫,Chen Gong,Trần Cung,智计,Wit,Trí Kế,Bách Kế Đa Mưu,Quần
木鹿大王,Mu Lu Da Wang,Mộc Lộc Đại Vương,象兵,Elephant Troops,Tượng Binh,Tượng Binh,Quần
贾诩,Jia Xu,Giả Hủ,伪书相间,False Documents,Nguỵ Thư Tương Gian,Thần Cơ Khó Đoán,Nguỵ
凌统,Ling Tong,Lăng Thống,横戈跃马,Ready the Horses,Hoành Qua Dược Mã,Quốc Thổ Tướng Phong,Ngô
郝昭,Hao Zhao,Hác Chiêu,横戈跃马,Ready the Horses,Hoành Qua Dược Mã,Thành Trì Vững Chắc,Nguỵ
蒋琬,Jiang Wan,Tưởng Uyển,奇计良谋,Uncanny Strategy,Kế Hay Mưu Giỏi,Khắc Tôn Hoạ Nhất,Thục
鲁肃,Lu Su,Lỗ Túc,奇计良谋,Uncanny Strategy,Kế Hay Mưu Giỏi,Cách Hay Cứu Trợ,Ngô
陆抗,Lu Kang,Lục Kháng,乘胜长驱,Continuous Pursuit,Thừa Thắng Trưởng Khu,Hiệu Thắng Duy Ác,Ngô
高览,Gao Lan,Cao Lãm,乘胜长驱,Continuous Pursuit,Thừa Thắng Trưởng Khu,Trấn Quân Kích Doanh,Quần
严颜,Yan Yan,Nghiêm Nhan,一力拒守,Lone Defender,Nhất Lực Cự Thủ,Thệ Thủ Vô Hàng,Thục
周泰,Zhou Tai,Chu Thái,一力拒守,Lone Defender,Nhất Lực Cự Thủ,Thân Hình Sắt Đá,Ngô
张春华,Zhang Chun Hua,Trương Xuân Hoa,运筹决算,Master Strategist,Vận Trù Quyết Toán,Trầm Đoạn Cơ Mưu,Nguỵ
袁术,Yuan Shu,Viên Thuật,形机军略,Sieze Opportunity,Hình Cơ Quân Lược,Phù Mệnh Tự Lập,Quần
姜维,Jiang Wei,Khương Duy,形机军略,Sieze Opportunity,Hình Cơ Quân Lược,Nghĩa Đản Hùng Tâm,Thục
荀莜,Xun You,Tuân Du,运筹决算,Master Strategist,Vận Trù Quyết Toán,Thập Nhị Kỳ Sách,Nguỵ
蔡邕,Cai Yong,Thái Ung,经术政要,Politics Expert,NULL,NULL,Quần
魏延,Wei Yan,Ngụy Diên,威谋糜亢,Undefeatable Might,Uy Mưu Vô Địch,Kỳ Binh Gian Đạo,Thục
沮授,Ju Shou,Thư Thụ,威谋糜亢,Undefeatable Might,Uy Mưu Vô Địch,Giám Thống Chấn Xa,Quần
SP 袁绍,SP Yuan Shao,SP Viên Thiệu,箕形阵,U-Shape Formation,Cơ Hình Trận,Cao Lỗ Liên Doanh,Quần
关银屏,Guan Yinping,Quan Ngân Bình,箕形阵,U-Shape Formation,Cơ Hình Trận,Con Gái Tướng Môn,Thục
SP 周瑜,SP Zhou Yu,SP Chu Du,焰佐风飞,Soaring Blaze,Lửa Đuổi Gió Bay,Giang Thiên Trường Diệm,Ngô
SP 诸葛亮,SP Zhuge Liang,SP Gia Cát Lượng,焰佐风飞,Soaring Blaze,Lửa Đuổi Gió Bay,Túi Gấm Diệu Kế,Thục
满宠,Man Chong,Mãn Sủng,破军威胜,Crusher of Armies,Phá Quân Uy Thắng,Trấn Ách Phòng Cụ,Nguỵ
王双,Wang Shuang,Vương Song,破军威胜,Crusher of Armies,Phá Quân Uy Thắng,NULL,Nguỵ
SP 朱儁,SP Zhu Jun,SP Chu Tuấn,速乘其利,Aggrandize,Mau Giành Lợi Thế,Vi Sư Tất Khuyết,Quần
王元姬,Wang Yuan Ji,Vương Nguyên Cơ,速乘其利,Aggrandize,Mau Giành Lợi Thế,Vạn Vật Giao Điểm,Nguỵ
董白,Dong Bai,Đổng Bạch,益其金鼓,Curative Taunt,NULL,NULL,Quần
SP 吕蒙,SP Lu Meng,SP Lữ Mông,益其金鼓,Curative Taunt,NULL,NULL,Ngô
许攸,Xu You,Hứa Du,定谋贵决,Decision-making,Kế Hoạch Quyết Đoán,Ngạo Nghễ Vương Hầu,Quần
关兴,Guan Xing,Quan Hưng,士争先赴,Rush to the Fore,Nhanh Chân Tranh Đất,Xuất Đao Như Sấm,Thục
张苞,Zhang Bau,Trương Bào,士争先赴,Rush to the Fore,Nhanh Chân Tranh Đất,Thương Vũ Như Phong,Thục
SP 荀彧,SP Xun Yu,SP Tuân Úc,竭力佐谋,Exploit,NULL,NULL,Nguỵ
张让,Zhang Rang,Trương Nhượng,竭力佐谋,Exploit,NULL,NULL,Quần
SP 郭嘉,SP Guo Jia,SP Quách Gia,先成其虑,Pre-Planning,NULL,NULL,Nguỵ
朵思大王,King Duosi,Đoá Tư Đại Vương,临机制胜,Winning Strategy,NULL,NULL,Quần
邹氏,Zou,Trâu,先成其虑,Pre-Planning,NULL,NULL,Quần
伊籍,Yi Ji,Yi Ji,临机制胜,Winning Strategy,NULL,NULL,Quần
郭图,Guo Tu,Quách Đồ,进言,Advice,Tiến Ngôn,Tiến Ngôn,Quần
孔融,Kong Rong,Khổng Dung,谦让,Ally Guard,Khiêm Nhường,Khiêm Nhường,Quần
张梁,Zhang Liang,Trương Lương,一举歼灭,Annihilate,Nhất Cử Tiêm Diệt,Nhất Cử Tiêm Diệt,Quần
张燕,Zhang Yan,Trương Yến,轻勇飞燕,Assail,Khinh Dũng Phi Yến,Khinh Dũng Phi Yến,Quần
步练师,Bu Lianshi,Bộ Luyện Sư,出其不意,Backstab,Xuất Kỳ Bất Ý,Cẩn Thận Tỉ Mỉ,Ngô
郭淮,Guo Huai,Quách Hoài,御敌屏障,Barrier,Ngự Địch Bình Chướng,Ngự Địch Bình Chướng,Nguỵ
王朗,Wang Lang,Vương Lãng,唇枪舌战,Battle of Words,Thần Thương Thiệt Chiến,Thần Thương Thiệt Chiến,Nguỵ
曹彰,Cao Zhang,Tào Chương,挫志怒袭,Break Morale,Toả Chí Nộ Tập,Toả Chí Nộ Tập,Nguỵ
纪灵,Ji Ling,Kỷ Linh,强攻,Brute Force,Cường Công,Uy Phong Lẫm Liệt,Quần
简雍,Jian Yong,Giản Ung,强攻,Brute Force,Cường Công,Diệu Thư Minh Thạch,Thục
朱恒,Zhu Huan,Chu Hoàn,千里驰援,Cavalry Support,Thiên Lý Trì Viện,Thiên Lý Trì Viện,Ngô
丁奉,Ding Feng,Đinh Phụng,短兵相见,Close Combat,Đoản Binh Tương Kiến,Đoản Binh Tương Kiến,Ngô
吕范,Lu Fan,Lữ Phạm,百炼成钢,Combat Mastery,Dày Công Tôi Luyện,Minh Sát Thu Hào,Ngô
徐盛,Xu Sheng,Từ Thịnh,百炼成钢,Combat Mastery,Dày Công Tôi Luyện,Nghi Thành,Ngô
文聘,Wen Pin,Văn Sính,手起刀落,Cut,Thủ Khởi Đao Lạc,Thủ Khởi Đao Lạc,Nguỵ
张绣,Zhang Xiu,Trương Tú,暗潮涌动,Decapitation Strike,Ám Triều Dũng Động,Ám Triều Dũng Động,Quần
皇甫嵩,Huangfu Song,Hoàng Phổ Tung,后发制人,Delayed Strike,Hậu Phát Chế Nhân,Hậu Phát Chế Nhân,Quần
马铁,Ma Tie,Mã Thiết,驱散,Dispel,Xua Đuổi,Án Đồ Tắc Kí,Quần
董允,Dong Yun,Đổng Doãn,声东击西,Diversion,Dương Đông Kích Tây,Thủ Ma Thốn Thiết,Thục
朱儁,Zhu Jun,Chu Tuấn,声东击西,Diversion,Dương Đông Kích Tây,Trấn Áp Khăn Vàng,Quần
沙摩柯,Sha Moke,Sa Ma Kha,弯弓饮羽,Draw Bow,Loan Cung Ẩm Vũ,Loan Cung Ẩm Vũ,Thục
李典,Li Dian,Lý Điển,长者之风,Elder Wisdom,Trưởng Giả Chi Phong,Trưởng Giả Chi Phong,Nguỵ
杨修,Yang Xiu,Dương Tu,出口成章,Eloquence,Xuất Khẩu Thành Chương,Xuât Khẩu Thành Chương,Nguỵ
张曼成,Zhang Mancheng,Trương Mạn Thành,神上使,Emissary of God,Thần Thượng Sứ,Thần Thượng Sứ,Quần
马谡,Ma Su,Mã Tắc,才器过人,Exceptional Mind,Tài Khí Quá Nhân,Tài Khí Quá Nhân,Thục
张任,Zhang Ren,Trương Nhiệm,落凤,Falling Phoenix,Lạc Phượng,Lạc Phượng,Quần
陈琳,Chen Lin,Trần Lâm,落雷,Falling Thunder,Lạc Lôi,Thành Quả To Lớn,Nguỵ
廖化,Liao Hua,Liêu Hoá,诈降,False Surrender,Trá Hàng,Trá Hàng,Thục
黄权,Huang Quan,Hoàng Quyền,机略纵横,Grand Design,Mưu Lược Tung Hoành,Mưu Lược Tung Hoành,Thục
韩遂,Han Sui,Hoàn Toại,暗藏玄机,Hidden Secrets,Ám Tàng Huyền Cơ,Ám Tàng Huyền Cơ,Quần
张鲁,Zhang Lu,Trương Lỗ,养马有道,Horse Breeder,Dưỡng Mã Hữu Đạo,Dưỡng Mã Hữu Đạo,Quần
陈武,Chen Wu,Trần Vũ,庐江上甲,Lujiang Armor,Lư Giang Thượng Giáp,Lư Giang Thượng Giáp,Ngô
韩当,Han Dang,Hàn Đương,左右开弓,Marching Fire,Tả Hữu Khai Cung,Tả Hữu Khai Cung,Ngô
曹洪,Cao Hong,Tào Hồng,骁勇善战,Master of Arms,Kiêu Dũng Thiện Chiến,Kiêu Dũng Thiện Chiến,Nguỵ
审配,Shen Pei,Thẩm Phối,坐守孤城,Mutual Support,Toạ Thủ Cô Thành,Toạ Thủ Cô Thành,Quần
关平,Guan Ping,Quan Bình,奋突,Puncture,Phấn Đột,Phấn Đột,Thục
李严,Li Yan,Lý Nghiêm,净化,Purify,Tịnh Hoá,Chi Diệp Phủ Tô,Thục
費禕,Fei Yi,Phi Y,偃旗息鼓,Quiet Down,Yến Kỳ Tức Cổ,Cao Chiêm Viễn Chúc,Thục
刘表,Liu Biao,Lưu Biểu,偃旗息鼓,Quiet Down,Yến Kỳ Tức Cổ,Tranh Phân Đoạt Miểu,Quần
李傕,Li Jue,Lý Thôi,纵兵劫掠,Raid and Pillage,Thả Lính Cướp Đoạt,Thả Lính Cướp Đoạt,Quần
蒋钦,Jiang Qin,Tưởng Khâm,天降火雨,Rain of Fire,Thiên Giáng Hoả Vũ,Thiên Giáng Hoả Vũ,Ngô
管亥,Guan Hai,Quản Hợi,鲁莽,Reckless,Lỗ Mãng,Lỗ Mãng,Quần
董袭,Dong Xi,Đổng Tập,自愈,Regeneration,Tự Lành,Tự Lành,Ngô
顾雍,Gu Yong,Cố Ung,枯木逢春,Rejuvenation,Khô Mộc Phùng Xuân,Khô Mộc Phùng Xuân,Ngô
卢植,Lu Zhi,Lô Trực,五谷丰登,Rich Harvest,Ngũ Cốc Phong Đăng,Ngũ Cốc Phong Đăng,Quần
诸葛瑾,Zhuge Jin,Gia Cát Cẩn,养兵千日,Rigorous Training,Dưỡng Bình Thiên Nhật,Dưỡng Bình Thiên Nhật,Ngô
张宝,Zhang Bao,Trương Bảo,妖术,Sand Shield,Yêu Thuật,Yêu Thuật,Quần
逢纪,Feng Ji,Phùng Kỷ,风声鹤唳,Sandstorm Ravage,Phong Thanh Hạc Lệ,Phúc Bối Thụ Địch,Quần
钟繇,Zhong Yao,Chung Do,风声鹤唳,Sandstorm Ravage,Phong Thanh Hạc Lệ,Ngoan Thiết Sinh Huy,Quần
糜竺,Mi Zhu,My Trúc,见机行事,Sieze the Chance,Tuỳ Cơ Ứng Biến,Tuỳ Cơ Ứng Biến,Thục
曹真,Cao Zhen,Tào Chân,屠几上肉,Slaughter,Đồ Kỷ Thượng Nhục,Đồ Kỷ Thượng Nhục,Nguỵ
胡车儿,Hu Che'er,Hồ Xa Nhi,骁健神行,Superb Physique,Kiêu Kiện Thần Hành,Kiêu Kiện Thần Hành,Quần
潘璋,Pan Zhang,Phan Chương,不辱使命,True to Duty,Bất Nhục Sứ Mệnh,Bất Nhục Sứ Mệnh,Ngô
郭汜,Guo Si,Quách Dĩ,暴敛四方,Tyranny,Bạo Liễm Tứ Phương,Bạo Liễm Tứ Phương,Quần
刘晔,Liu Ye,Lưu Diệp,料事如神,Uncanny Foresight,Liệu Sự Như Thần,Liệu Sự Như Thần,Nguỵ
周仓,Zhou Cang,Chu Thương,矢志不移,Unwavering Will,Thi Chí Bất Di,Thi Chí Bất Di,Thục
臧霸,Zang Ba,Tang Bá,避实击虚,Weakest Link,Tị Thực Kích Hư,Tị Thực Kích Hư,Nguỵ
马良,Ma Liang,Mã Lương,白眉,White Brow,Bạch Mi,Bạch Mi,Thục
刘封,Liu Feng,Lưu Phong,骑虎难下,Withering,Kỵ Hổ Nan Dạ,Kỵ Hổ Nan Dạ,Thục
丁原,Ding Yuan,Đinh Nguyên,猛击,Bash,Mãnh Kích,Mãnh Kích,Quần
卞喜,Bian Xi,Biện Hỷ,压制,Conquer,Áp Chế,Áp Chế,Nguỵ
全琮,Quan Cong,Toàn Tông,奋发,Excite,Hăng Hái,Hăng Hái,Ngô
阚泽,Kan Ze,Hám Trạch,放火,Fire,Đốt Lửa,Đốt Lửa,Ngô
孙乾,Sun Qian,Tôn Càn,火功,Fire Attack,Hoả Công,Hoả Công,Thục
曹休,Cao Xiu,Tào Hưu,挥砍,Hack,Vung Chém,Vung Chém,Nguỵ
車冑,Che Zhou,Xa Trụ,重击,Impact,Trọng Kích,Trọng Kích,Nguỵ
孙皓,Sun Hao,Tôn Hạo,牵连,Implicate,Liên Luỵ,Liên Luỵ,Ngô
傅士任,Fu Ren,Phó Sỹ Nhân,护卫,Protect,Hộ Vệ,Hộ Vệ,Thục
夏侯恩,Xiahou En,Hạ Hầu Ân,挑鲜,Provoke,Khiêu Khích,Khiêu Khích,Nguỵ
潘风,Pan Feng,Phan Phụng,追伤,Pursuit,Vô Song Thượng Tướng,Vô Song Thượng Tướng,Quần
虞翻,Yu Fan,Ngu Phiên,殿后,Rear Guard,Chốt Đuôi,Chốt Đuôi,Ngô
向宠,Xiang Chong,Hướng Sủng,谈心,Repose,Tâm Sự,Tâm Sự,Thục
陶谦,Tao Qian,Đào Khiêm,援救,Salvage,Cứu Trợ,Cứu Trợ,Quần
吳懿,Wu Yi,Ngô Ý,刺伤,Stab,Đâm Thương,Đâm Thương,Thục
宋宪,Song Xian,Tống Hiến,践踏,Stampede,Giẫm Đạp,Giẫm Đạp,Quần
何进,He Jin,Hà Tiến,还击,Strike Back,Phản Kích,Phản Kích,Quần
吕虔,Lu Qian,Lữ Kiền,破甲,Sunder Armor,Phá Giáp,Phá Giáp,Nguỵ
朱然,Zhu Ran,Chu Nhiên,毒气,Toxic Gas,Khí Độc,Khí Độc,Ngô
糜芳,Mi Fang,My Phương,识破,Undeceived,Phát Hiện,Phát Hiện,Thục
,Soldier,Quân Sĩ,,,,,
丁原,Ding Yuan,#NAME?,猛击,Bash,Mãnh Kích,Mãnh Kích,Quần
卞喜,Bian Xi,Biện Hỷ,压制,Conquer,Áp Chế,Áp Chế,Nguỵ
全琮,Quan Cong,Toàn Tông,奋发,Excite,Hăng Hái,Hăng Hái,Ngô
阚泽,Kan Ze,Hám Trạch,放火,Fire,Đốt Lửa,Đốt Lửa,Ngô
孙乾,Sun Qian,Tôn Càn,火功,Fire Attack,Hoả Công,Hoả Công,Thục
曹休,Cao Xiu,Tào Hưu,挥砍,Hack,Vung Chém,Vung Chém,Nguỵ
車冑,Che Zhou,Xa Trụ,重击,Impact,Trọng Kích,Trọng Kích,Nguỵ
孙皓,Sun Hao,Tôn Hạo,牵连,Implicate,Liên Luỵ,Liên Luỵ,Ngô
傅士任,Fu Ren,Phó Sỹ Nhân,护卫,Protect,Hộ Vệ,Hộ Vệ,Thục
夏侯恩,Xiahou En,Hạ Hầu Ân,挑鲜,Provoke,Khiêu Khích,Khiêu Khích,Nguỵ
潘风,Pan Feng,Phan Phụng,追伤,Pursuit,Vô Song Thượng Tướng,Vô Song Thượng Tướng,Quần
虞翻,Yu Fan,Ngu Phiên,殿后,Rear Guard,Chốt Đuôi,Chốt Đuôi,Ngô
向宠,Xiang Chong,Hướng Sủng,谈心,Repose,Tâm Sự,Tâm Sự,Thục
陶谦,Tao Qian,Đào Khiêm,援救,Salvage,Cứu Trợ,Cứu Trợ,Quần
吳懿,Wu Yi,Ngô Ý,刺伤,Stab,Đâm Thương,Đâm Thương,Thục
宋宪,Song Xian,Tống Hiến,践踏,Stampede,Giẫm Đạp,Giẫm Đạp,Quần
何进,He Jin,Hà Tiến,还击,Strike Back,Phản Kích,Phản Kích,Quần
吕虔,Lu Qian,Lữ Kiền,破甲,Sunder Armor,Phá Giáp,Phá Giáp,Nguỵ
朱然,Zhu Ran,#NAME?,毒气,Toxic Gas,Khí Độc,Khí Độc,Ngô
糜芳,Mi Fang,My Phương,识破,Undeceived,Phát Hiện,Phát Hiện,Thục
